iterations,test-F1-mean,test-F1-std,train-F1-mean,train-F1-std,test-Logloss-mean,test-Logloss-std,train-Logloss-mean,train-Logloss-std
0,0.7424051695759711,0.04720685185494253,0.7508316398783214,0.014920468469680847,0.5874179505792505,0.00826508633173672,0.567497636705688,0.009624384139986902
1,0.7388356856600097,0.061809967954519575,0.762918118307818,0.017541266208462997,0.5310484456648551,0.02127346393909581,0.4926657359992138,0.02214727808535507
2,0.7424329683157375,0.055698096995948077,0.7686927579040872,0.014656418521940509,0.49464965440520964,0.03271053604156363,0.4474723210162611,0.022724566002849292
3,0.7420843541090482,0.06074453799724707,0.7740500789868723,0.014051747636240926,0.4659344250273003,0.03992115418777846,0.41636906087048553,0.018234376657657477
4,0.7401526479466111,0.06326005319861816,0.7815135336849613,0.02157920606226871,0.4500410774302471,0.04504224430238543,0.3978803471271925,0.017838282159355713
5,0.7394885519621573,0.06239001540854573,0.7841623395361481,0.0218652397301015,0.4470019801172752,0.05501314222030935,0.3858990136082577,0.019643544147336035
6,0.7419081830885689,0.06540119848149535,0.786284224061051,0.019669306032407165,0.43914537486386285,0.06042749754907959,0.3769300978650558,0.01950288784984283
7,0.7411536860488337,0.06120227911190546,0.789431816574868,0.017400934445727254,0.4407749150771667,0.05800279103815672,0.37069987580652086,0.019439834439098417
8,0.7371441359348768,0.0592757992292254,0.7913317807256719,0.014545254102060607,0.43824754796092985,0.05793144306947717,0.3634505155698604,0.019391768537878978
9,0.7375206064541754,0.057887847503166855,0.7965512199672518,0.013282443416890244,0.4377942920018426,0.05784245099100296,0.35840702489261567,0.020033311050252085
10,0.7387081666064415,0.055781533573921925,0.8050253386643345,0.016681684431158153,0.43644775175236716,0.0577400036470496,0.351871047463053,0.02105501019762846
11,0.7460517616841218,0.04445675545081799,0.8075450819179686,0.018718977932757355,0.4370772309523295,0.05745720076280633,0.347537609851229,0.021794861231552567
12,0.7472562434768389,0.043533578503774574,0.815634806404589,0.014578152949458426,0.43607910253371907,0.05836663596153231,0.34268665302274737,0.01995304281330166
13,0.7482489905539178,0.048240705014340836,0.8197212061868371,0.014719499663074101,0.43497633288861265,0.06034422551732609,0.3374167090912715,0.01803499204990716
14,0.7490639393467317,0.046819321699734566,0.8289313269001507,0.015211865970133662,0.43346419292020516,0.06000141327451412,0.3302386275978336,0.016260594216774508
15,0.7487790342859242,0.048738671710325095,0.8333481935992632,0.017726834445453858,0.4319610858082334,0.0597698295909879,0.32582879516847507,0.01607496586479787
16,0.7375303274373218,0.05101305430708785,0.8354863513882804,0.02255000306025177,0.43564028965268553,0.06529093955614837,0.3214982892354107,0.016013017928492804
17,0.743001241917931,0.0570367053312395,0.8404193007219461,0.016432683723480834,0.4363525463554622,0.06509109065681842,0.31957729137523294,0.015452514214630668
18,0.7429971511625564,0.057409205902364854,0.8422152712032606,0.014975978040053718,0.43554335759050816,0.06500395825620318,0.317218197243056,0.016806235111556524
19,0.7430783447151074,0.05660450392158855,0.8430084516792217,0.017009109384119835,0.4349715974389213,0.0660236370396978,0.31357566953111454,0.01750754306015183
20,0.746380642476732,0.052308839652173554,0.8439164628308664,0.017214099189831397,0.4360247116193259,0.06780182184657928,0.310241501013144,0.01934024739078598
21,0.747310050653159,0.055683699937197455,0.8466023850845165,0.017505947643169956,0.43538004344227926,0.06638844800859169,0.30784452483482055,0.018730264995501695
22,0.7366522677661895,0.0444237628464465,0.8486232425611699,0.02060012335366555,0.4348517875375741,0.06700191392248918,0.3045762669680548,0.017901062588275812
23,0.7429814455493572,0.04836060187347183,0.8504885518608158,0.02140605349132863,0.43583459128636604,0.06879112388119385,0.301266927530286,0.018213361841006855
24,0.7379677673355346,0.050431056436444126,0.8518828705106735,0.022606267510575432,0.4376526709005663,0.07353204021799514,0.2986873425165011,0.01842073738286298
25,0.7444531480229515,0.05279827494046449,0.8556070745649615,0.01915981401638595,0.4375793150694368,0.07489403145427563,0.29538042352920796,0.01814027289538602
